Debito;Taxa
1;0,03
2;0,054185115
3;0,060220526
4;0,066325443
5;0,072731174
6;0,078748652
7;0,087192868
8;0,096491228
9;0,1038746
10;0,107910481
11;0,127522832
12;0,146788991
13;0,157809425
14;0,169043722
15;0,18049817
16;0,192179304
17;0,204093919
18;0,216249088
