Debito;Taxa
1;0,0416
2;0,0907
3;0,1073
4;0,1242
5;0,1412
6;0,1584
7;0,1758
8;0,1935
9;0,2112
10;0,2292
11;0,2474
12;0,2658
13;0,2843
14;0,303
15;0,3219
16;0,3408
17;0,3603
18;0,3799
