Debito;Taxa
1;0,0443
2;0,0553
3;0,0635
4;0,0718
5;0,0805
6;0,0889
7;0,103
8;0,1123
9;0,1218
10;0,1316
11;0,1415
12;0,1388
13;0,1622
14;0,1727
15;0,1836
16;0,1946
17;0,2059
18;0,2175
19;0,2292
20;0,2413
21;0,2537
22;0,2663
23;0,2792
24;0,2925
