Debito; 0,0335 
1; 0,0420 
2; 0,0609 
3; 0,0701 
4; 0,0791 
5; 0,0880 
6; 0,0967 
7; 0,1259 
8; 0,1342 
9; 0,1425 
10; 0,1506 
11; 0,1587 
12; 0,1666 
